horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,50243542.1583579,7088.267923714361,4551.132542094,0.321522041288235,0.2512855782892127,0.37054252929236353,0.7
10 days,50481454.630115636,7105.030234285821,4593.255659060142,0.3356018570325511,0.27562370118675455,0.3911030431994308,0.7
11 days,17491150.688312214,4182.24230387387,3248.7637780294417,0.37745007138568726,0.27562370118675455,0.3611287075373145,0.8
12 days,17494497.609294657,4182.64241948731,3251.743417507242,0.3771821076787111,0.27562370118675455,0.360844205825097,0.8
13 days,19648067.991571315,4432.614126175582,3536.743671759866,0.42082247917823806,0.36779010781635235,0.4231864389966665,0.8
14 days,17485298.231004838,4181.54256596831,3325.8238770896787,0.41690654836789454,0.3671391574999826,0.4128900808709514,0.85
15 days,15090985.817493621,3884.7118062339737,2996.9254462330305,0.3949117179531634,0.3671391574999826,0.38679797820875944,0.9
16 days,11152018.037567068,3339.4637350279863,2704.1883347281514,0.3844735148768164,0.3671391574999826,0.36879521087546874,1.0
17 days,18247009.325782876,4271.651826376171,3286.416638878634,0.37841056912252,0.3671391574999826,0.4138720981939013,0.9
18 days,18956193.769398168,4353.871124573874,3495.2785086297276,0.4055561799765261,0.3865725345887493,0.4351425685507596,0.9
19 days,18037023.48483975,4247.001705302195,3204.956664058168,0.3653770813439766,0.3398606284483411,0.3841727648281009,0.9
20 days,16194187.309733963,4024.200207461597,3058.090387015822,0.3271123939805236,0.3398606284483411,0.37697906788666613,0.9
21 days,18147712.155470014,4260.013163767222,3306.051179564077,0.4993266773570724,0.3916512352969904,0.4296792522739385,0.9
22 days,16717623.392265469,4088.719040514458,3057.9964618489876,0.46893953405335925,0.3034052830198002,0.3884263598830474,0.9
23 days,18241456.750247754,4271.0018438590905,3321.6743772641726,0.5103409371171898,0.3916512352969904,0.4167219418035925,0.9
24 days,18502431.01428785,4301.445223908803,3448.755409773691,0.523853997573829,0.3916512352969904,0.4318385593547422,0.9
25 days,17818313.814045638,4221.174459086669,3379.1783212239534,0.5677687586479427,0.43684502804695713,0.4383241183854424,0.9
26 days,10078241.363338098,3174.6246019550244,2670.4232072728564,0.5219643657521145,0.3034052830198002,0.3585382019726778,1.0
27 days,34208512.332047835,5848.804350638499,4591.490109639598,0.5991758385854828,0.4769160308777258,0.49183449826487047,0.8
28 days,34430236.24786072,5867.728372024451,4651.181940466514,0.589863907213586,0.36363650150466265,0.49087531731994494,0.8
29 days,36866425.49824058,6071.772846396724,4972.500889990438,0.6615725371762389,0.5372596122347375,0.5271797381629865,0.8
30 days,33396905.698824696,5779.005597749901,4391.882187914137,0.4501167919341221,0.36363650150466265,0.4247906166649059,0.8
31 days,34623531.40601416,5884.17635748744,4661.1983095476835,0.5034803206198726,0.5334015276040196,0.4635933878355619,0.8
32 days,33421451.295099813,5781.128894523959,4478.858530883235,0.46051669044399796,0.36363650150466265,0.43828797211744763,0.8
33 days,36200662.45120032,6016.698633902177,4865.403947184686,0.5491618756049214,0.5334015276040196,0.48842111065605065,0.8
34 days,48977588.9182307,6998.399025365065,5468.383529753695,0.4900133720775514,0.432353019900194,0.4686907878078695,0.7
35 days,36673426.79870979,6055.858882000949,4481.555899258214,0.45746017359172786,0.3565535102062115,0.4081287588925092,0.8
36 days,24486306.39882741,4948.364012360794,3536.9802091064316,0.4237900394117478,0.2670197062726444,0.34667680106144,0.9
37 days,23639137.331335653,4862.00959802998,3272.4922005643634,0.39635848313244476,0.2406177422638261,0.3143972484779553,0.9
38 days,21001676.645847503,4582.758628364307,2926.305544114358,0.32497321555506753,0.2406177422638261,0.27573916248031727,0.9
39 days,21652764.845904313,4653.253146552884,3173.1418636818935,0.34614094413497176,0.2406177422638261,0.2995457693680973,0.9
40 days,20774352.005733542,4557.888985674568,3019.281347538093,0.3021423179990924,0.2259494605627126,0.2724645791502327,0.9
41 days,17732410.12874626,4210.986835499045,2557.450892374703,0.25306885927330813,0.2259494605627126,0.2976941337523826,0.9
42 days,10843383.183762055,3292.9292709929337,2201.269186302338,0.26025651445007897,0.2259494605627126,0.30466637961589527,0.95
43 days,3929012.78947784,1982.1737536043202,1840.3447631239105,0.3066943883404651,0.2406177422638261,0.32716766382438467,1.0
44 days,12256689.06957961,3500.9554509561544,2643.0451794090286,0.3548553253463187,0.2711848434813458,0.3586083217845428,0.9
45 days,12135848.561747385,3483.6544836920016,2599.1637507366368,0.35184578239620484,0.2621012402510148,0.3604100748896044,0.9
46 days,13992129.82104979,3740.6055420278935,3003.003903279031,0.38012307325958383,0.30181548041054346,0.3938493508328817,0.9
47 days,32592900.51306312,5709.019225143941,4174.75852154803,0.40378478116687394,0.30181548041054346,0.4516458952488726,0.8
